rowid,name,longitude,latitude,description,gx_media_links
1,"Adamson, OK",-95.546944,34.923889,"Wikipedia (http://en.wikipedia.org/wiki/Adamson,_Oklahoma)",
2,"Alluwe, OK",-95.487222,36.610278,"Wikipedia (http://en.wikipedia.org/wiki/Alluwe,_Oklahoma)",
3,"Amboy, CA ",-115.745302,34.557167,"Wikipedia (http://en.wikipedia.org/wiki/Amboy,_California)

Wikipedia Commons / Alienburrito (http://en.wikipedia.org/wiki/User:Alienburrito)",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/AmboySchool.jpg/800px-AmboySchool.jpg
4,"Animas Forks, CO",-107.56871000000001,37.930549,"Wikipedia (http://en.wikipedia.org/wiki/Animas_Forks,_Colorado)

Public Domain",http://upload.wikimedia.org/wikipedia/en/5/5c/Animas18.jpg
5,"Ardmore, SD",-103.65519,43.020321,"Wikipedia (http://en.wikipedia.org/wiki/Ardmore,_South_Dakota)",
6,"Arlington, Mo",-91.971111,37.920278,"Wikipedia (http://en.wikipedia.org/wiki/Arlington,_Missouri)",
7,"Arcola, AL",-87.783326,32.567114000000004,"Wikipedia (http://en.wikipedia.org/wiki/Arcola,_Alabama)",
8,"Ashcroft, CO",-106.79777800000001,39.054444000000004,"Wikipedia (http://en.wikipedia.org/wiki/Ashcroft,_Colorado)


Wikipedia Commons / John Holm (http://www.flickr.com/people/29385617@N00)",http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Ashcroft_CO_-_houses.jpg/800px-Ashcroft_CO_-_houses.jpg
9,"Bannack, MT",-112.99655200000001,45.161386,"Wikipedia (http://en.wikipedia.org/wiki/Bannack,_MT)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bannack.jpg/800px-Bannack.jpg
10,"Batsto Village, NJ",-74.64853199999999,39.642979,"Wikipedia (http://en.wikipedia.org/wiki/Batsto_Village,_New_Jersey)",
11,"Bellefonte, AL",-85.94420500000001,34.711844,"Wikipedia (http://en.wikipedia.org/wiki/Bellefonte,_Alabama)",
12,"Benjaminville, IL",-88.806111,40.4765,"Wikipedia (http://en.wikipedia.org/wiki/Benjaminville,_Illinois)",
13,"Berlin, NV",-117.607222,38.882222,"Wikipedia (http://en.wikipedia.org/wiki/Berlin,_Nevada)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/8/87/Berlin_Ghost_Town.jpg
14,"Bodie, CA",-119.004601,38.214149,"Wikipedia (http://en.wikipedia.org/wiki/Bodie,_California)

Wikipedia Commons/ Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Bodie_ghost_town_edit1.jpg/800px-Bodie_ghost_town_edit1.jpg
15,"Bisbee, AZ",-109.91413600000001,31.44255,"Wikipedia (http://en.wikipedia.org/wiki/Bisbee,_AZ)

Wikipedia Commons/Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Bisbee_1916.jpg/799px-Bisbee_1916.jpg
16,"Black Jack, KS",-95.129542,38.767936999999996,Wikipedia (http://en.wikipedia.org/wiki/Battle_of_Black_Jack#Town_of_Black_Jack),
17,"Blue Heron, KY",-84.547919,36.670402,"Wikipedia (http://en.wikipedia.org/wiki/Blue_Heron,_Kentucky)




Wikipedia Commons / Brian Stansberry (http://commons.wikimedia.org/wiki/User:Bms4880)",http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Blue-heron-tipple-ky1.jpg/800px-Blue-heron-tipple-ky1.jpg
18,"Brewster, FL",-81.977663,27.754513,"Wikipedia (http://en.wikipedia.org/wiki/Brewster,_Florida)",
19,"Brinkman, OK",-99.515118,35.008114,"Wikipedia (http://en.wikipedia.org/wiki/Brinkman,_Oklahoma)",
20,"Brunswick Town, NC",-77.94658199999999,34.039823,"Wikipedia (http://en.wikipedia.org/wiki/Brunswick_Town,_North_Carolina)",
21,"Burke, ID",-115.81765700000001,47.520708,"Wikipedia (http://en.wikipedia.org/wiki/Burke,_Idaho)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/BurkeIdaho1890.JPG/800px-BurkeIdaho1890.JPG
22,"Bushong, KS",-96.257778,38.642943,"Wikipedia (http://en.wikipedia.org/wiki/Bushong,_Kansas)",
23,"Byrnesville, PA",-76.339196,40.795982,"Wikipedia (http://en.wikipedia.org/wiki/Byrnesville,_Pennsylvania)",
24,"Cades Cove, TN",-83.817616,35.607627,"Wikipedia (http://en.wikipedia.org/wiki/Cades_Cove)



Check out the entire cleared area for other remains of Cades Cove.



Wikipedia Commons / Billy Hathorn (http://commons.wikimedia.org/wiki/User:Billy_Hathorn)",http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Methodist_Church_at_Cades_Cove_IMG_4969.JPG/800px-Methodist_Church_at_Cades_Cove_IMG_4969.JPG
